,asset,amount,count,tx_size
0,BTC,16255.896613335402,178,16255.896613335402
1,ETH,7024.086489554054,83,7024.086489554054
2,LUNA,3580.199507097222,266,3580.199507097222
3,MNGO,5253.007836083333,270,5253.007836083333
4,SOL,11520.758662694645,2189,11520.758662694645
5,SOL (tsUSDC),43057.63147970589,111,43057.63147970589
