,asset,usd,epoch,amount,amt_usd
72,mSOL,95.14,Epoch 4 - 2022-01-07,29344.490214128,2791834.7989721377
73,mSOL,95.14,Epoch 5 - 2022-01-14,16660.877642421,1585115.898899934
74,mSOL,95.14,Epoch 6 - 2022-01-21,50829.015384091996,4835872.523642512
75,mSOL,95.14,Epoch 7 - 2022-01-28,64378.891966258,6125007.781669786
76,mSOL,95.14,Epoch 8 - 2022-02-04,30973.787152074,2946846.1096483204
77,mSOL,95.14,Epoch 9 - 2022-02-11,8098.342675368,770476.3221345115
78,mSOL,95.14,Epoch 10 - 2022-02-18,1058.158498933,100673.19958848562
79,MNGO,0.173683,Epoch 2 - 2021-12-24,121359.842571,21078.141537258995
80,MNGO,0.173683,Epoch 4 - 2022-01-07,277823.334638,48253.19022993175
81,MNGO,0.173683,Epoch 5 - 2022-01-14,1783465.008866,309757.5531348735
82,MNGO,0.173683,Epoch 6 - 2022-01-21,1609536.4359950002,279549.1168129196
83,MNGO,0.173683,Epoch 7 - 2022-01-28,2068003.717741,359177.0897084101
84,MNGO,0.173683,Epoch 8 - 2022-02-04,2126199.0803799997,369284.6348776395
85,MNGO,0.173683,Epoch 9 - 2022-02-11,331159.24978199997,57516.7319798871
86,MNGO,0.173683,Epoch 10 - 2022-02-18,132578.48691600002,23026.629343031633
87,SBR,0.04208272,Epoch 2 - 2021-12-24,411418.998496,17313.630516387588
88,SBR,0.04208272,Epoch 5 - 2022-01-14,5404769.891023,227447.4179883514
89,SBR,0.04208272,Epoch 6 - 2022-01-21,10511515.836722,442353.1777323376
90,SBR,0.04208272,Epoch 7 - 2022-01-28,3544514.290001,149162.80240211086
91,SBR,0.04208272,Epoch 8 - 2022-02-04,1579072.593519,66451.66981273389
92,SBR,0.04208272,Epoch 9 - 2022-02-11,2209938.25001,93000.21259246083
93,SBR,0.04208272,Epoch 10 - 2022-02-18,321216.385831,13517.659224337938
